taxa	H	E
Pr_SCA_37-4.fq	0.01337668	0.00321528	
Pr_SCI_05-PE_purged-1.fq_1	0.02131094	0.00784718	
Pr_SCA_18-3.fq	0.01914419	0.00482646	
Pr_SCA_27-4.fq	0.0214982	0.00516379	
Pr_SCA_17-3.fq	0.0165505	0.00404997	
Pr_SCA_03-3.fq	0.03520337	0.00899943	
Pr_SCA_30-4.fq	0.0300059	0.00715362	
Pr_SCA_05-3.fq	0.04820525	0.011403	
Pr_Legacy_11-2.fq	0.02657911	0.0064601	
Pr_SCI_06-PE_purged-1.fq_1	0.01739602	0.00630064	
Pr_SCA_35-4.fq	0.01476228	0.00370995	
Pr_SCA_31-4.fq	0.01666614	0.00432333	
Pr_SCA_09-3.fq	0.01949197	0.00495505	
Pr_Legacy_02.fq	0.02253244	0.00549721	
Pr_SCA_12-3.fq	0.02729863	0.00706848	
Pr_SCI_03-PE_purged-1.fq_1	0.0105289	0.00476291	
Pr_SCA_20-3.fq	0.01826129	0.00480308	
Pr_SRI_02-PE_purged-1.fq_1	0.00889103	0.00438259	
Pr_SCA_36-4.fq	0.01847774	0.00449364	
Pr_SCA_40-4.fq	0.01816486	0.00463574	
Pr_SCA_07-3.fq	0.03765318	0.00957054	
Pr_SCA_19-3.fq	0.01573831	0.00404041	
Pr_SCA_34-4.fq	0.02489198	0.00644567	
Pr_Legacy_17-2.fq	0.04769614	0.0112896	
Pr_SCA_02.fq	0.04578754	0.01126791	
