taxa	H	E
Xr_SNI_39-5.fq	0.01199429	0.00355717	
Xr_SNI_03.fq	0.00780507	0.00371352	
Xr_SNI_31-5.fq	0.04627218	0.01527094	
Xr_SNI_11.fq	0.00816472	0.00370086	
Xr_SBI_32-4.fq	0.01761664	0.0050672	
Xr_SCL_25.fq	0.00705253	0.00377091	
Xr_SNI_43-5.fq	0.00942486	0.00277826	
Xr_SBI_35-5.fq	0.04479867	0.01550314	
Xr_SNI_34-5.fq	0.0477155	0.01597869	
Xv_JTS_04-PE_purged.fq_1	0.006753	0.00255817	
Xr_SBI_27-4.fq	0.04280949	0.01437739	
Xr_SCL_13.fq	0.00688964	0.00348368	
Xr_SNI_17.fq	0.00537881	0.00263797	
Xr_SNI_14.fq	0.00593927	0.00286075	
Xr_SNI_35-5.fq	0.02975464	0.0100344	
Xr_SNI_26.fq	0.00577889	0.00260783	
Xr_SBI_34-5.fq	0.03462813	0.01112861	
Xr_SBI_28-4.fq	0.02349388	0.0074885	
Xr_SNI_19.fq	0.00584365	0.00302819	
Xr_SNI_33-5.fq	0.02689673	0.0088174	
Xr_SBI_39-5.fq	0.00944921	0.00297433	
Xr_SNI_27-PE_purged.fq_1	0.02109095	0.0088217	
Xr_SBI_29-4.fq	0.01875851	0.00562979	
Xv_JTS_03-PE_purged.fq_1	0.00937725	0.00400541	
Xr_SCL_12.fq	0.00685302	0.00312458	
Xr_SBI_30-4.fq	0.01582556	0.00468015	
Xr_SNI_15.fq	0.00594419	0.00424522	
Xr_SNI_32-5.fq	0.03145973	0.01111573	
Xr_SBI_26-4.fq	0.01804693	0.00549382	
Xr_SBI_03-PE_purged.fq_1	0.01130555	0.00548645	
Xr_SBI_33-4.fq	0.03059805	0.01029034	
Xr_SBI_04-PE_purged.fq_1	0.0075518	0.00439997	
Xr_SNI_28-PE_purged.fq_1	0.00595326	0.00338327	
